Nom,Catégorie,Statut,Adresse,Latitude,Longitude
Maro Snack,Supérette / Mini-market,Formel,Maro Snack,33.575046,-7.6260258
Para Vida,Supérette / Mini-market,Formel,Para Vida,33.5651892,-7.6079075
,Supérette / Mini-market,Formel,,33.6006423,-7.6382676
,Supérette / Mini-market,Formel,,33.5998343,-7.635678
,Supérette / Mini-market,Formel,,33.6009395,-7.6349887
,Supérette / Mini-market,Formel,,33.598828,-7.6375821
,Supérette / Mini-market,Formel,,33.5947426,-7.6421856
,Supérette / Mini-market,Formel,,33.5755753,-7.646333
مواد الغذائية صلاح,Supérette / Mini-market,Formel,مواد الغذائية صلاح,33.5744876,-7.5544471
Bureaux Tabac,Supérette / Mini-market,Formel,Bureaux Tabac,33.574463,-7.5544244
,Supérette / Mini-market,Formel,,33.588406,-7.618008
,Supérette / Mini-market,Formel,,33.5926666,-7.6157868
,Supérette / Mini-market,Formel,,33.592133,-7.6157691
,Supérette / Mini-market,Formel,,33.5811865,-7.6422423
,Supérette / Mini-market,Formel,,33.5811341,-7.6423016
Mondial Market,Supérette / Mini-market,Formel,Mondial Market,33.5808266,-7.6427583
,Supérette / Mini-market,Formel,,33.5807328,-7.6408999
,Supérette / Mini-market,Formel,,33.5810079,-7.6405848
,Supérette / Mini-market,Formel,,33.5813662,-7.6417189
,Supérette / Mini-market,Formel,,33.5815221,-7.6402524
,Supérette / Mini-market,Formel,,33.5817087,-7.6395588
,Supérette / Mini-market,Formel,,33.5817311,-7.6395935
,Supérette / Mini-market,Formel,,33.5814469,-7.6398593
,Supérette / Mini-market,Formel,,33.5793815,-7.6414329
,Supérette / Mini-market,Formel,,33.5796852,-7.640525
,Supérette / Mini-market,Formel,,33.5799469,-7.6398544
BİM,Supérette / Mini-market,Formel,BİM,33.5801724,-7.6382087
Carrefour Express,Supérette / Mini-market,Formel,Carrefour Express,33.5911972,-7.6388189
Fruits secs Ali,Supérette / Mini-market,Formel,Fruits secs Ali,33.5877474,-7.6186834
,Supérette / Mini-market,Formel,,33.5822476,-7.64182
,Supérette / Mini-market,Formel,,33.5796533,-7.6418564
Amanda Store,Supérette / Mini-market,Formel,Amanda Store,33.5865294,-7.6365008
,Épicerie,Informel,,33.585769,-7.6124983
Legumes & Fruits,Épicerie,Informel,Legumes & Fruits,33.5922058,-7.604536
,Épicerie,Informel,,33.5885606,-7.6057723
Au 19 Heure,Café,Formel,Au 19 Heure,33.5827625,-7.6112767
Maeva,Café,Formel,Maeva,33.5957256,-7.5933532
,Café,Formel,,33.5924515,-7.5954887
,Café,Formel,,33.5923666,-7.595596
,Café,Formel,,33.594621,-7.5934475
Sampione,Café,Formel,Sampione,33.5928563,-7.5971409
,Café,Formel,,33.5926705,-7.5961807
,Café,Formel,,33.5920315,-7.5973448
,Café,Formel,,33.592036,-7.5975808
,Café,Formel,,33.5916786,-7.5917569
,Café,Formel,,33.5921344,-7.6002863
,Café,Formel,,33.5909904,-7.5975933
,Café,Formel,,33.5915356,-7.5918427
,Café,Formel,,33.5914194,-7.59195
Venezia Ice,Café,Formel,Venezia Ice,33.5944312,-7.5954315
,Café,Formel,,33.5906061,-7.595469
,Café,Formel,,33.5910262,-7.5924971
Alhana,Café,Formel,Alhana,33.5900564,-7.5931006
Café de la gare,Café,Formel,Café de la gare,33.5899952,-7.5905952
,Café,Formel,,33.5909815,-7.591435
Bellevue,Café,Formel,Bellevue,33.5906508,-7.5928083
Jus Bordeaux,Café,Formel,Jus Bordeaux,33.5969487,-7.6279619
Café Splendeur,Café,Formel,Café Splendeur,33.5962469,-7.6313052
Cafe Black Stone,Café,Formel,Cafe Black Stone,33.5951697,-7.610295
Café Ghandi,Café,Formel,Café Ghandi,33.5656336,-7.6379599
Lugano Glacier,Café,Formel,Lugano Glacier,33.5942402,-7.6376222
Valencia,Café,Formel,Valencia,33.5289904,-7.6487632
Havana,Café,Formel,Havana,33.5285902,-7.6489134
Café Domani,Café,Formel,Café Domani,33.5620309,-7.5591609
Caffè Vernagno 1882,Café,Formel,Caffè Vernagno 1882,33.5766221,-7.6481068
Caniada,Café,Formel,Caniada,33.5835055,-7.6421257
Café Arije,Café,Formel,Café Arije,33.5819086,-7.6432771
Café les familles,Café,Formel,Café les familles,33.5819412,-7.6431848
Café le Bateau,Café,Formel,Café le Bateau,33.5798896,-7.6370591
Café Espace Mozart,Café,Formel,Café Espace Mozart,33.5801248,-7.6367203
Glacier Oliveri,Café,Formel,Glacier Oliveri,33.5848346,-7.622941
Café Agoustine,Café,Formel,Café Agoustine,33.5785797,-7.6401447
Café Caldo,Café,Formel,Café Caldo,33.579835,-7.640015
Café Céleste,Café,Formel,Café Céleste,33.5804839,-7.6412073
CAP 3000,Café,Formel,CAP 3000,33.5806609,-7.6410259
Café au Petit 'Maroc مقهى إلى المغرب الصغير,Café,Formel,Café au Petit 'Maroc مقهى إلى المغرب الصغير,33.5978903,-7.6344273
Café Bidawa,Café,Formel,Café Bidawa,33.5985843,-7.6326802
Diwan,Café,Formel,Diwan,33.5916481,-7.6351298
Patisserie&Traiteur TAZI,Café,Formel,Patisserie&Traiteur TAZI,33.595696,-7.6301959
Segafredo,Café,Formel,Segafredo,33.5922407,-7.6336602
jardin de Rome,Café,Formel,jardin de Rome,33.5923237,-7.6319383
cup's,Café,Formel,cup's,33.5930431,-7.629063
Le Noble,Café,Formel,Le Noble,33.5860329,-7.6342615
Garibaldi,Café,Formel,Garibaldi,33.601513,-7.6330486
Venezia Ice,Café,Formel,Venezia Ice,33.5866466,-7.6335102
Meet Up Coffee Pool,Café,Formel,Meet Up Coffee Pool,33.5917023,-7.6383239
La Flèche d’Anfa,Café,Formel,La Flèche d’Anfa,33.5904217,-7.6380902
Café Pasteur,Café,Formel,Café Pasteur,33.5737657,-7.6245966
café Etoile Plazza,Café,Formel,café Etoile Plazza,33.5740365,-7.6250894
café Alice,Café,Formel,café Alice,33.5740455,-7.6252611
café Gigi,Café,Formel,café Gigi,33.57405,-7.6253952
café Vesal,Café,Formel,café Vesal,33.5728315,-7.6205101
Café Lily White,Café,Formel,Café Lily White,33.5715053,-7.6241079
Café Soraya,Café,Formel,Café Soraya,33.5715156,-7.6244653
La Brioche Dorée,Café,Formel,La Brioche Dorée,33.5693746,-7.6255745
Gelatino,Café,Formel,Gelatino,33.5936482,-7.6162016
Nouaima,Café,Formel,Nouaima,33.592001,-7.626468
Café Anfa,Café,Formel,Café Anfa,33.5813192,-7.6383988
Café O'kfé,Café,Formel,Café O'kfé,33.5816678,-7.6389138
Café Mandela,Café,Formel,Café Mandela,33.6014368,-7.6336494
Cups,Café,Formel,Cups,33.5926384,-7.6295335
Marjonel,Café,Formel,Marjonel,33.5583463,-7.5604482
ستاربكس,Café,Formel,ستاربكس,33.5995419,-7.6123798
Astoria,Café,Formel,Astoria,33.5941874,-7.5873723
Café Iligh,Café,Formel,Café Iligh,33.5908419,-7.5907101
,Café,Formel,,33.593421,-7.5820873
BlueBerry,Café,Formel,BlueBerry,33.5996574,-7.6122203
Caféino,Café,Formel,Caféino,33.5994386,-7.6125072
Segafredo,Café,Formel,Segafredo,33.5992366,-7.6127376
Segafredo,Café,Formel,Segafredo,33.5917771,-7.627272
Café Glacier Rachidi,Café,Formel,Café Glacier Rachidi,33.5938662,-7.6283156
Café Glacier de l'Oize,Café,Formel,Café Glacier de l'Oize,33.594726,-7.6274061
Café glacier Casa Anfa,Café,Formel,Café glacier Casa Anfa,33.5953965,-7.6263675
Café La cabane,Café,Formel,Café La cabane,33.5955168,-7.6265613
Café Madrid,Café,Formel,Café Madrid,33.5954404,-7.6264835
Alegria,Café,Formel,Alegria,33.5838531,-7.5813298
Boulangerie-Pâtisserie Amanouz,Café,Formel,Boulangerie-Pâtisserie Amanouz,33.5846642,-7.5804276
Essalam Juice,Café,Formel,Essalam Juice,33.5852765,-7.5809747
Clivia Ice,Café,Formel,Clivia Ice,33.5853413,-7.581302
Sunset,Café,Formel,Sunset,33.5941228,-7.6443566
Le Local,Café,Formel,Le Local,33.5942483,-7.6434224
Amiga,Café,Formel,Amiga,33.5741004,-7.6148563
Café Karibo,Café,Formel,Café Karibo,33.5924741,-7.6254288
Le passage,Café,Formel,Le passage,33.5941743,-7.6252608
café le mirage,Café,Formel,café le mirage,33.5938975,-7.6283639
San mimoun,Café,Formel,San mimoun,33.5936871,-7.628102
Café saphir bleu,Café,Formel,Café saphir bleu,33.5945113,-7.6281082
Lora Café Restaurant,Café,Formel,Lora Café Restaurant,33.5943442,-7.6286229
Gaugan,Café,Formel,Gaugan,33.5927658,-7.6242626
Faraj,Café,Formel,Faraj,33.593897,-7.6251899
Rachidi,Café,Formel,Rachidi,33.5930352,-7.6266798
Café De France,Café,Formel,Café De France,33.5954385,-7.617482
Café Odissea,Café,Formel,Café Odissea,33.5940836,-7.6183033
Café Vogue,Café,Formel,Café Vogue,33.5945042,-7.6183755
,Café,Formel,,33.5516288,-7.5880864
Le Lys,Café,Formel,Le Lys,33.5914444,-7.594961
Face Cafe,Café,Formel,Face Cafe,33.6006767,-7.635819
The voice,Café,Formel,The voice,33.5635411,-7.5568378
,Café,Formel,,33.5970886,-7.635439
Belle d'Anfa,Café,Formel,Belle d'Anfa,33.5896085,-7.6276965
Le Yeel's,Café,Formel,Le Yeel's,33.5900878,-7.6303874
astoria,Café,Formel,astoria,33.5962813,-7.6168974
La Chope,Café,Formel,La Chope,33.5942999,-7.6164602
Don Quichotte,Café,Formel,Don Quichotte,33.5970492,-7.6163612
isis,Café,Formel,isis,33.5950092,-7.6173804
Eden Ice,Café,Formel,Eden Ice,33.5947705,-7.6170384
Le Maroc,Café,Formel,Le Maroc,33.5999428,-7.6140803
Montréal,Café,Formel,Montréal,33.5945485,-7.6155381
Nasma,Café,Formel,Nasma,33.5945946,-7.6157947
La Petite Perle,Café,Formel,La Petite Perle,33.594108,-7.6156948
Au Clair de Lune,Café,Formel,Au Clair de Lune,33.5944909,-7.6134185
Caza Ameal,Café,Formel,Caza Ameal,33.5952468,-7.616121
agarta,Café,Formel,agarta,33.5987015,-7.6149462
Café Glacier EGO,Café,Formel,Café Glacier EGO,33.5849588,-7.61423
Cafe May,Café,Formel,Cafe May,33.5859992,-7.6045843
Café de l'Arrivée,Café,Formel,Café de l'Arrivée,33.5896275,-7.5920967
Café Dubois,Café,Formel,Café Dubois,33.5876158,-7.6138836
Café Yasmina,Café,Formel,Café Yasmina,33.5856704,-7.6133866
Jus Rosenheim,Café,Formel,Jus Rosenheim,33.5857277,-7.6119478
La Colina,Café,Formel,La Colina,33.588729,-7.6162319
La Perle Blanche,Café,Formel,La Perle Blanche,33.5860749,-7.6114696
Les Gémaux,Café,Formel,Les Gémaux,33.5871751,-7.6120277
,Café,Formel,,33.5849083,-7.6109257
,Café,Formel,,33.5858704,-7.6114546
,Café,Formel,,33.5875331,-7.6122448
,Café,Formel,,33.5884774,-7.6127839
Martello,Café,Formel,Martello,33.5827185,-7.6174892
Café O'Joe,Café,Formel,Café O'Joe,33.594084,-7.6131607
,Café,Formel,,33.5942571,-7.6124982
Café Jasmine,Café,Formel,Café Jasmine,33.592787,-7.6062993
Auriga,Café,Formel,Auriga,33.5837685,-7.6438721
,Café,Formel,,33.6001046,-7.6344252
Café Romantique,Café,Formel,Café Romantique,33.5740209,-7.5819074
Zineb,Café,Formel,Zineb,33.6007115,-7.6332406
very ڤيري,Café,Formel,very ڤيري,33.603415,-7.6425831
le Châtelet,Café,Formel,le Châtelet,33.586116,-7.6350081
Café Fairplay,Café,Formel,Café Fairplay,33.5973188,-7.6382518
,Café,Formel,,33.5926388,-7.6319683
Café Karima مقهى كريمة,Café,Formel,Café Karima مقهى كريمة,33.5996177,-7.5824027
Beverly Bakery & Cafe,Café,Formel,Beverly Bakery & Cafe,33.5961331,-7.6416036
Café Charles Dego,Café,Formel,Café Charles Dego,33.5436554,-7.5682412
Café Kyoto,Café,Formel,Café Kyoto,33.5396601,-7.5997898
Café One Love,Café,Formel,Café One Love,33.5825944,-7.6280953
Café Basma,Café,Formel,Café Basma,33.5389745,-7.5561869
Casaforme,Café,Formel,Casaforme,33.5616595,-7.6119677
,Café,Formel,,33.5993502,-7.6058794
,Café,Formel,,33.6003791,-7.6169643
,Café,Formel,,33.601745,-7.6201855
côté d'or,Café,Formel,côté d'or,33.5771392,-7.625501
café mouad,Café,Formel,café mouad,33.5773541,-7.6268773
,Café,Formel,,33.5988308,-7.6193111
Café,Café,Formel,Café,33.5771471,-7.615869
Cafe 2 Mars,Café,Formel,Cafe 2 Mars,33.5661039,-7.6093338
Mondial,Café,Formel,Mondial,33.5711485,-7.6130091
Boudad,Café,Formel,Boudad,33.5908082,-7.6049423
Le 5 Palmiers,Café,Formel,Le 5 Palmiers,33.5322685,-7.5849699
Zounhours,Café,Formel,Zounhours,33.5312563,-7.5880645
Clip Cafe,Café,Formel,Clip Cafe,33.5397459,-7.5998991
Café La Source,Café,Formel,Café La Source,33.5478561,-7.6020569
Café Syntia,Café,Formel,Café Syntia,33.5461983,-7.6020982
El Baouraoui Café,Café,Formel,El Baouraoui Café,33.5462575,-7.6021096
Palais Amira,Café,Formel,Palais Amira,33.5355652,-7.5957638
Ixia,Café,Formel,Ixia,33.539469,-7.5791851
,Café,Formel,,33.5891426,-7.6317809
Cafe Rosage,Café,Formel,Cafe Rosage,33.5423571,-7.5856224
Skybury Café,Café,Formel,Skybury Café,33.5375745,-7.5853535
Espace La Parisien,Café,Formel,Espace La Parisien,33.5369536,-7.5863788
Cafe El Osra,Café,Formel,Cafe El Osra,33.5367993,-7.5866456
Espace Al Mouatine,Café,Formel,Espace Al Mouatine,33.5353707,-7.5861213
Espace Palma,Café,Formel,Espace Palma,33.5344037,-7.585955
Cafe Di Latorre,Café,Formel,Cafe Di Latorre,33.5377182,-7.5857055
Adana d'or,Café,Formel,Adana d'or,33.5381005,-7.5850551
Al Turkia,Café,Formel,Al Turkia,33.5388293,-7.5838058
Espace Laghlimi,Café,Formel,Espace Laghlimi,33.5409129,-7.5927289
Espace El Gharbia,Café,Formel,Espace El Gharbia,33.5373169,-7.5864244
Cafe Al Amal,Café,Formel,Cafe Al Amal,33.5324429,-7.5846836
Argana,Café,Formel,Argana,33.5647444,-7.5915889
La Qualité,Café,Formel,La Qualité,33.5655066,-7.5923198
Argana,Café,Formel,Argana,33.5651087,-7.5919417
Golden Space,Café,Formel,Golden Space,33.5832101,-7.5988175
Cafe du Pont,Café,Formel,Cafe du Pont,33.5826297,-7.5984453
Café Sbaï,Café,Formel,Café Sbaï,33.5667425,-7.5894016
Cafe Zodiaque,Café,Formel,Cafe Zodiaque,33.5418954,-7.5712685
Cafe La Liga,Café,Formel,Cafe La Liga,33.5468661,-7.57153
Nescafe,Café,Formel,Nescafe,33.5468069,-7.5716347
Golden Cup,Café,Formel,Golden Cup,33.5430099,-7.5732386
Café Anas,Café,Formel,Café Anas,33.5466593,-7.5770688
Verona Cafe,Café,Formel,Verona Cafe,33.5522891,-7.5823005
Cafe Rania,Café,Formel,Cafe Rania,33.550901,-7.57429
Moody's,Café,Formel,Moody's,33.598514,-7.5804283
Canova,Café,Formel,Canova,33.595432,-7.5874154
Cafe Glacier,Café,Formel,Cafe Glacier,33.567276,-7.6445413
Cafe Barcelona,Café,Formel,Cafe Barcelona,33.5831677,-7.5543948
Café Napoli,Café,Formel,Café Napoli,33.5620155,-7.5628182
Cafe L'Albatros,Café,Formel,Cafe L'Albatros,33.5851173,-7.6131231
Café Aloha,Café,Formel,Café Aloha,33.5848954,-7.6147637
Café Lucca El Ghazali,Café,Formel,Café Lucca El Ghazali,33.5677929,-7.5606577
Café La Canyada,Café,Formel,Café La Canyada,33.5743744,-7.5580466
Café Oum Erabia,Café,Formel,Café Oum Erabia,33.5698423,-7.5575115
Café Monsieur,Café,Formel,Café Monsieur,33.5877075,-7.6142021
Café Al Horia,Café,Formel,Café Al Horia,33.5640158,-7.5694406
Café Rostou,Café,Formel,Café Rostou,33.5619356,-7.5719364
Café Les Alpes,Café,Formel,Café Les Alpes,33.5869275,-7.6119141
Cafe Le 13,Café,Formel,Cafe Le 13,33.5553235,-7.6269016
La Goyave,Café,Formel,La Goyave,33.5543439,-7.6237741
Café Al Amana,Café,Formel,Café Al Amana,33.583915,-7.6283175
Café Club,Café,Formel,Café Club,33.5828766,-7.6294366
Espace Café,Café,Formel,Espace Café,33.5845274,-7.6211093
Café Élite,Café,Formel,Café Élite,33.5867395,-7.6191245
Glacier Cafeteria Tasman,Café,Formel,Glacier Cafeteria Tasman,33.5871897,-7.6202121
Brasserie Soleil,Café,Formel,Brasserie Soleil,33.5877405,-7.6189394
Café Faracha,Café,Formel,Café Faracha,33.5879583,-7.6182568
Café la Palmerale,Café,Formel,Café la Palmerale,33.5879494,-7.6185545
Café Le Capitole,Café,Formel,Café Le Capitole,33.5879025,-7.6191325
VIP Ole Cafe,Café,Formel,VIP Ole Cafe,33.5885756,-7.6196589
Cafe Nadif,Café,Formel,Cafe Nadif,33.588751,-7.619964
Café Fiori,Café,Formel,Café Fiori,33.5862713,-7.6216806
Red Coffee,Café,Formel,Red Coffee,33.583428,-7.6228702
El Presto,Café,Formel,El Presto,33.5853457,-7.6211469
Café Icarus,Café,Formel,Café Icarus,33.585291,-7.6211999
Café Panam,Café,Formel,Café Panam,33.5851156,-7.6208572
La Fontaine à Jus,Café,Formel,La Fontaine à Jus,33.5850083,-7.6209129
Cafétéria Tassili,Café,Formel,Cafétéria Tassili,33.5844994,-7.6213132
Ballon Ovale,Café,Formel,Ballon Ovale,33.5836123,-7.6196985
Café Bleu-Blanc,Café,Formel,Café Bleu-Blanc,33.5829219,-7.6307144
Glacier Missouri,Café,Formel,Glacier Missouri,33.5802013,-7.6334944
Café de Nono,Café,Formel,Café de Nono,33.5798063,-7.6346713
Café Palmier,Café,Formel,Café Palmier,33.5783147,-7.630255
Café Snack Al Hadaf,Café,Formel,Café Snack Al Hadaf,33.5725732,-7.6305762
Salon Thé,Café,Formel,Salon Thé,33.5725537,-7.6294597
Fuego,Café,Formel,Fuego,33.5739174,-7.6309879
Les Amis,Café,Formel,Les Amis,33.5751555,-7.6260312
Café Abd El Moumen,Café,Formel,Café Abd El Moumen,33.5748985,-7.6260272
Ifri,Café,Formel,Ifri,33.5745655,-7.6403026
Café Arcadie,Café,Formel,Café Arcadie,33.5704211,-7.643538
Real Time Coffee,Café,Formel,Real Time Coffee,33.5729262,-7.6383609
Phuket's,Café,Formel,Phuket's,33.5757584,-7.636172
Mira Fiori,Café,Formel,Mira Fiori,33.5744069,-7.6377277
Cafe Agouz Harbala,Café,Formel,Cafe Agouz Harbala,33.5382832,-7.5869816
La Seine,Café,Formel,La Seine,33.5689662,-7.62583
Cafe Roma!,Café,Formel,Cafe Roma!,33.5343869,-7.5896323
Cafe El Mamouina,Café,Formel,Cafe El Mamouina,33.5405574,-7.5940479
Cafe 7iLES,Café,Formel,Cafe 7iLES,33.5379205,-7.5953695
Milk House,Café,Formel,Milk House,33.5393329,-7.599079
Cafe Galactica,Café,Formel,Cafe Galactica,33.5391445,-7.5989114
Massilya Cafe,Café,Formel,Massilya Cafe,33.5695909,-7.6257804
Café Essannara,Café,Formel,Café Essannara,33.570073,-7.6076353
Cafe Riscatto,Café,Formel,Cafe Riscatto,33.5701161,-7.6066791
Cafe Holton,Café,Formel,Cafe Holton,33.5709295,-7.6044327
Cafe Mogador,Café,Formel,Cafe Mogador,33.570701,-7.6038694
Café Versailles,Café,Formel,Café Versailles,33.5879416,-7.6121977
